"varresp_ini";"varresp_fim";"qt_sem_hist";"historico_ini";"historico_fim";"retorno_esp_modelo";"retorno_real"
"05/10/2015";"09/10/2015";2;"21/09/2015";"02/10/2015";1,7135026259087;2,72418939917713
"12/10/2015";"16/10/2015";15;"29/06/2015";"09/10/2015";0,32650937671535;-2,27390734016642
"12/10/2015";"16/10/2015";14;"06/07/2015";"09/10/2015";0,344915616865182;-2,41131496910981
"12/10/2015";"16/10/2015";13;"13/07/2015";"09/10/2015";0,387937668183412;-2,83989146700817
"12/10/2015";"16/10/2015";12;"20/07/2015";"09/10/2015";0,567773902779235;-2,8039308365567
"12/10/2015";"16/10/2015";11;"27/07/2015";"09/10/2015";1,18092125474062;-2,87860287833356
"12/10/2015";"16/10/2015";10;"03/08/2015";"09/10/2015";1,10000451474655;-3,13599317457461
"12/10/2015";"16/10/2015";9;"10/08/2015";"09/10/2015";1,28717367159248;-3,02112174892049
"12/10/2015";"16/10/2015";8;"17/08/2015";"09/10/2015";1,56590558166838;-3,23251043891558
"12/10/2015";"16/10/2015";7;"24/08/2015";"09/10/2015";2,13392635648725;-1,50495296608553
"12/10/2015";"16/10/2015";6;"31/08/2015";"09/10/2015";2,1461343827428;-1,47532407689755
"12/10/2015";"16/10/2015";5;"07/09/2015";"09/10/2015";1,55993268746822;-3,05379430964599
"12/10/2015";"16/10/2015";4;"14/09/2015";"09/10/2015";1,23322089615187;-2,66692302833936
"12/10/2015";"16/10/2015";3;"21/09/2015";"09/10/2015";2,60589058666373;-1,26245364040356
"12/10/2015";"16/10/2015";2;"28/09/2015";"09/10/2015";13,5046729647024;-9,69351477146702
"19/10/2015";"23/10/2015";15;"06/07/2015";"16/10/2015";-0,0555596899145038;-0,528516483711848
"19/10/2015";"23/10/2015";14;"13/07/2015";"16/10/2015";0,0293279125454651;-1,35033340878385
"19/10/2015";"23/10/2015";13;"20/07/2015";"16/10/2015";0,0614793123905769;-0,831083253233418
"19/10/2015";"23/10/2015";12;"27/07/2015";"16/10/2015";0,49607584617188;-0,79831190040713
"19/10/2015";"23/10/2015";11;"03/08/2015";"16/10/2015";0,3836056546788;-0,756431771619343
"19/10/2015";"23/10/2015";10;"10/08/2015";"16/10/2015";0,704973004267186;-1,99894116076182
"19/10/2015";"23/10/2015";9;"17/08/2015";"16/10/2015";0,946306738444834;-1,69164131600896
"19/10/2015";"23/10/2015";8;"24/08/2015";"16/10/2015";1,47514617211357;-0,88783691932638
"19/10/2015";"23/10/2015";7;"31/08/2015";"16/10/2015";1,43096635315426;-0,861080305717083
"19/10/2015";"23/10/2015";6;"07/09/2015";"16/10/2015";1,40439170799328;-0,68501203528464
"19/10/2015";"23/10/2015";5;"14/09/2015";"16/10/2015";0,436902268517158;0,442452435562786
"19/10/2015";"23/10/2015";4;"21/09/2015";"16/10/2015";0,557671201146254;1,39386314085042
"19/10/2015";"23/10/2015";3;"28/09/2015";"16/10/2015";0,937318985077278;2,70782554334463
"19/10/2015";"23/10/2015";2;"05/10/2015";"16/10/2015";0,780586158688474;3,01517245934656
"26/10/2015";"30/10/2015";15;"13/07/2015";"23/10/2015";-0,0484225562583572;-2,09691254933025
"26/10/2015";"30/10/2015";14;"20/07/2015";"23/10/2015";0,0668536131116741;-1,8828034072957
"26/10/2015";"30/10/2015";13;"27/07/2015";"23/10/2015";0,471651116040194;-1,8402769421035
"26/10/2015";"30/10/2015";12;"03/08/2015";"23/10/2015";0,389545347855443;-1,8968551186889
"26/10/2015";"30/10/2015";11;"10/08/2015";"23/10/2015";0,559914771294257;-2,22636406429723
"26/10/2015";"30/10/2015";10;"17/08/2015";"23/10/2015";0,594062743636632;-3,28362033084566
"26/10/2015";"30/10/2015";9;"24/08/2015";"23/10/2015";1,28308117930042;-3,62655513606265
"26/10/2015";"30/10/2015";8;"31/08/2015";"23/10/2015";1,23112790228901;-3,65297644125661
"26/10/2015";"30/10/2015";7;"07/09/2015";"23/10/2015";1,31353263926965;-2,74687594370173
"26/10/2015";"30/10/2015";6;"14/09/2015";"23/10/2015";0,497171949007396;-2,95088206958534
"26/10/2015";"30/10/2015";5;"21/09/2015";"23/10/2015";1,03872964130602;-3,29384717583205
"26/10/2015";"30/10/2015";4;"28/09/2015";"23/10/2015";1,75406512262457;-3,04640947964088
"26/10/2015";"30/10/2015";3;"05/10/2015";"23/10/2015";1,48283896365711;-3,80411137577831
"26/10/2015";"30/10/2015";2;"12/10/2015";"23/10/2015";3,16493894582624;-3,67202620513222
"02/11/2015";"06/11/2015";15;"20/07/2015";"30/10/2015";0,0919243106413056;4,60451552917603
"02/11/2015";"06/11/2015";14;"27/07/2015";"30/10/2015";0,586530932771535;5,34388548657837
"02/11/2015";"06/11/2015";13;"03/08/2015";"30/10/2015";0,510942404887325;5,38155273223827
"02/11/2015";"06/11/2015";12;"10/08/2015";"30/10/2015";0,581171210690865;4,15295533824236
"02/11/2015";"06/11/2015";11;"17/08/2015";"30/10/2015";0,169861645026041;2,78481810130356
"02/11/2015";"06/11/2015";10;"24/08/2015";"30/10/2015";1,05593337090003;5,44659457868146
"02/11/2015";"06/11/2015";9;"31/08/2015";"30/10/2015";1,06190025587774;5,447450802882
"02/11/2015";"06/11/2015";8;"07/09/2015";"30/10/2015";1,53293302800459;3,57181418787032
"02/11/2015";"06/11/2015";7;"14/09/2015";"30/10/2015";0,728299429431079;2,71820418085398
"02/11/2015";"06/11/2015";6;"21/09/2015";"30/10/2015";1,57022058707113;3,66307045150383
"02/11/2015";"06/11/2015";5;"28/09/2015";"30/10/2015";2,30574766242831;3,55218436426971
"02/11/2015";"06/11/2015";4;"05/10/2015";"30/10/2015";2,66104269112713;3,70154656464567
"02/11/2015";"06/11/2015";3;"12/10/2015";"30/10/2015";2,08389672695245;3,54323919756398
"02/11/2015";"06/11/2015";2;"19/10/2015";"30/10/2015";34,1018130240126;16,8553730381251
"09/11/2015";"13/11/2015";15;"27/07/2015";"06/11/2015";0,936705422211796;-3,17229864422367
"09/11/2015";"13/11/2015";14;"03/08/2015";"06/11/2015";0,884142387451145;-2,78518656844883
"09/11/2015";"13/11/2015";13;"10/08/2015";"06/11/2015";0,930859864396201;-4,01604849297112
"09/11/2015";"13/11/2015";12;"17/08/2015";"06/11/2015";0,421237839425419;-3,82475158004211
"09/11/2015";"13/11/2015";11;"24/08/2015";"06/11/2015";1,47040225425279;-3,91895581111948
"09/11/2015";"13/11/2015";10;"31/08/2015";"06/11/2015";1,54357954876347;-3,7709441782687
"09/11/2015";"13/11/2015";9;"07/09/2015";"06/11/2015";1,86865110171825;-4,67189694349964
"09/11/2015";"13/11/2015";8;"14/09/2015";"06/11/2015";1,09280143498025;-5,05289190385793
"09/11/2015";"13/11/2015";7;"21/09/2015";"06/11/2015";1,9526131610765;-2,73108829947843
"09/11/2015";"13/11/2015";6;"28/09/2015";"06/11/2015";2,59148602892176;-8,45086004291404
"09/11/2015";"13/11/2015";5;"05/10/2015";"06/11/2015";3,02803833828156;-8,43494610544002
"09/11/2015";"13/11/2015";4;"12/10/2015";"06/11/2015";2,52861498084993;-8,44868746343669
"09/11/2015";"13/11/2015";3;"19/10/2015";"06/11/2015";28,3492210723433;-7,2622669757969
"09/11/2015";"13/11/2015";2;"26/10/2015";"06/11/2015";14,8217493528893;-3,1345802501026
"16/11/2015";"20/11/2015";15;"03/08/2015";"13/11/2015";0,771505356344566;0,839545414148589
"16/11/2015";"20/11/2015";14;"10/08/2015";"13/11/2015";0,000293485528772355;0,757382142748301
"16/11/2015";"20/11/2015";13;"17/08/2015";"13/11/2015";-0,0994741550705535;0,853135984898247
"16/11/2015";"20/11/2015";12;"24/08/2015";"13/11/2015";0,816929213689923;0,493223169609704
"16/11/2015";"20/11/2015";11;"31/08/2015";"13/11/2015";0,848634629183506;0,3198288705277
"16/11/2015";"20/11/2015";10;"07/09/2015";"13/11/2015";0,928632644978294;-0,550254148594517
"16/11/2015";"20/11/2015";9;"14/09/2015";"13/11/2015";0,364750899718833;-0,81826159173888
